Animal ID,Intake Type,In Date,Pet name,Animal Type,Pet Age,Pet Size,Color,Breed,Sex,URL Link ,Crossing
A523474,OWNER SUR,09/15/2024,DAISY,OTHER,1 YEAR,MED,BROWN,RAT / REX,F,http://www.petharbor.com/get_image.asp?res=DETAIL&id=A523474&location=MONT,
A523475,OWNER SUR,09/15/2024,RUBY,OTHER,1 YEAR,MED,WHITE / BROWN,RAT,F,http://www.petharbor.com/get_image.asp?res=DETAIL&id=A523475&location=MONT,
A523470,OWNER SUR,09/15/2024,NORMAN,OTHER,3 YEARS,MED,TRICOLOR,GUINEA PIG,M,http://www.petharbor.com/get_image.asp?res=DETAIL&id=A523470&location=MONT,
A523469,OWNER SUR,09/15/2024,DEXTER,OTHER,3 YEARS,MED,AGOUTI / WHITE,GUINEA PIG,M,http://www.petharbor.com/get_image.asp?res=DETAIL&id=A523469&location=MONT,
A523467,OWNER SUR,09/15/2024,RODNEY,OTHER,3 YEARS,MED,BROWN / WHITE,GUINEA PIG,M,http://www.petharbor.com/get_image.asp?res=DETAIL&id=A523467&location=MONT,
A523436,OWNER SUR,09/14/2024,BOBINSKY,OTHER,4 MONTHS,SMALL,ORANGE,MOUSE,M,http://www.petharbor.com/get_image.asp?res=DETAIL&id=A523436&location=MONT,
A523468,OWNER SUR,09/15/2024,SONIC,OTHER,1 YEAR,MED,BROWN / WHITE,GUINEA PIG,M,http://www.petharbor.com/get_image.asp?res=DETAIL&id=A523468&location=MONT,
A523471,OWNER SUR,09/15/2024,SUMMER,OTHER,1 YEAR,MED,BROWN,RAT,F,http://www.petharbor.com/get_image.asp?res=DETAIL&id=A523471&location=MONT,
A523472,OWNER SUR,09/15/2024,RUE,OTHER,1 YEAR,MED,SILVER,RAT,F,http://www.petharbor.com/get_image.asp?res=DETAIL&id=A523472&location=MONT,
A522194,OWNER SUR,08/15/2024,HATCHI,DOG,9 MONTHS,MED,BROWN / WHITE,LABRADOR RETR / MIX,N,http://www.petharbor.com/get_image.asp?res=DETAIL&id=A522194&location=MONT,
A517709,RETURN,09/19/2024,REMY,DOG,1 YEAR 5 MONTHS,LARGE,TAN / WHITE,MASTIFF / AMER BULLDOG,N,http://www.petharbor.com/get_image.asp?res=DETAIL&id=A517709&location=MONT,
A518499,OWNER SUR,04/27/2024,DJ,OTHER,NO AGE,SMALL,GREEN,TURTLE / REDEARED SLIDER,F,http://www.petharbor.com/get_image.asp?res=DETAIL&id=A518499&location=MONT,
A433059,OWNER SUR,09/12/2024,MR. PICKLES,DOG,7 YEARS,MED,BROWN / WHITE,SIBERIAN HUSKY,N,http://www.petharbor.com/get_image.asp?res=DETAIL&id=A433059&location=MONT,
A523315,OWNER SUR,09/11/2024,HUNCHO,DOG,1 YEAR 5 MONTHS,MED,TAN / WHITE,AM PIT BULL TER,N,http://www.petharbor.com/get_image.asp?res=DETAIL&id=A523315&location=MONT,
A508644,OWNER SUR,06/30/2024,JULIET,DOG,1 YEAR 11 MONTHS,MED,BROWN / WHITE,AM PIT BULL TER,S,http://www.petharbor.com/get_image.asp?res=DETAIL&id=A508644&location=MONT,
A522396,OWNER SUR,08/20/2024,*CASHMERE,DOG,3 YEARS,MED,TAN / WHITE,FEIST / MIX,N,http://www.petharbor.com/get_image.asp?res=DETAIL&id=A522396&location=MONT,
A523473,OWNER SUR,09/15/2024,STELLA,OTHER,1 YEAR,MED,GRAY / WHITE,RAT,F,http://www.petharbor.com/get_image.asp?res=DETAIL&id=A523473&location=MONT,
A523317,OWNER SUR,09/11/2024,DRAMATICZ,DOG,1 YEAR 5 MONTHS,MED,BROWN / WHITE,AM PIT BULL TER,S,http://www.petharbor.com/get_image.asp?res=DETAIL&id=A523317&location=MONT,
A523058,OWNER SUR,09/05/2024,PHIL,CAT,12 YEARS,X-LRG,GRAY,DOMESTIC SH,S,http://www.petharbor.com/get_image.asp?res=DETAIL&id=A523058&location=MONT,
A522291,FOSTER,09/07/2024,NILA,CAT,3 YEARS,MED,BRN TABBY,DOMESTIC SH,S,http://www.petharbor.com/get_image.asp?res=DETAIL&id=A522291&location=MONT,
A517854,OWNER SUR,08/26/2024,MUSSA,DOG,4 YEARS,MED,SABLE,BELG MALINOIS,S,http://www.petharbor.com/get_image.asp?res=DETAIL&id=A517854&location=MONT,
A523316,OWNER SUR,09/11/2024,SASSY,DOG,1 YEAR 5 MONTHS,MED,BROWN / WHITE,AM PIT BULL TER,S,http://www.petharbor.com/get_image.asp?res=DETAIL&id=A523316&location=MONT,
